"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2019","26","Ozone","DUNKIRK","36-013-0006","AQS","26","."
"01/02/2019","26","Ozone","DUNKIRK","36-013-0006","AQS","26","."
"01/03/2019","25","Ozone","DUNKIRK","36-013-0006","AQS","25","20"
"01/04/2019","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/05/2019","22","Ozone","DUNKIRK","36-013-0006","AQS","22","."
"01/06/2019","31","Ozone","DUNKIRK","36-013-0006","AQS","31","17"
"01/07/2019","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/08/2019","28","Ozone","DUNKIRK","36-013-0006","AQS","28","."
"01/09/2019","31","Ozone","DUNKIRK","36-013-0006","AQS","31","10"
"01/10/2019","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"01/11/2019","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"01/12/2019","32","Ozone","DUNKIRK","36-013-0006","AQS","32","23"
"01/13/2019","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/14/2019","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/15/2019","56","PM2.5","DUNKIRK","36-013-0006","AQS","30","56"
"01/16/2019","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/17/2019","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/18/2019","40","PM2.5","DUNKIRK","36-013-0006","AQS","35","40"
"01/19/2019","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/20/2019","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/21/2019","37","Ozone","DUNKIRK","36-013-0006","AQS","37","8"
"01/22/2019","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/23/2019","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/24/2019","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/25/2019","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/26/2019","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/27/2019","37","Ozone","DUNKIRK","36-013-0006","AQS","37","28"
"01/28/2019","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/29/2019","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/30/2019","35","Ozone","DUNKIRK","36-013-0006","AQS","35","14"
"01/31/2019","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/01/2019","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"02/02/2019","38","Ozone","DUNKIRK","36-013-0006","AQS","38","16"
"02/03/2019","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"02/04/2019","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"02/05/2019","45","PM2.5","DUNKIRK","36-013-0006","AQS","25","45"
"02/06/2019","19","Ozone","DUNKIRK","36-013-0006","AQS","19","."
"02/07/2019","21","Ozone","DUNKIRK","36-013-0006","AQS","21","."
"02/08/2019","35","Ozone","DUNKIRK","36-013-0006","AQS","35","15"
