"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/02/2018","6","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","6"
"01/05/2018","12","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","12"
"01/08/2018","12","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","12"
"01/11/2018","10","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","10"
"01/14/2018","8","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","8"
"01/17/2018","15","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","15"
"01/20/2018","29","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","29"
"01/23/2018","1","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","1"
"01/26/2018","2","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","2"
"01/29/2018","9","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","9"
"02/01/2018","15","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","15"
"02/04/2018","13","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","13"
"02/07/2018","13","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","13"
"02/10/2018","35","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","35"
"02/13/2018","8","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS",".","8"
"02/15/2018","47","Ozone","","33-007-4001","AQS","47","."
"02/16/2018","40","Ozone","","33-007-4001","AQS","40","18"
"02/17/2018","40","Ozone","","33-007-4001","AQS","40","."
"02/18/2018","47","Ozone","","33-007-4001","AQS","47","."
"02/19/2018","46","Ozone","","33-007-4001","AQS","46","13"
"02/20/2018","34","Ozone","","33-007-4001","AQS","34","."
"02/21/2018","40","Ozone","","33-007-4001","AQS","40","."
"02/22/2018","44","Ozone","","33-007-4001","AQS","44","5"
"02/23/2018","45","Ozone","","33-007-4001","AQS","45","."
"02/24/2018","48","Ozone","","33-007-4001","AQS","48","."
"02/25/2018","47","Ozone","","33-007-4001","AQS","47","5"
"02/26/2018","44","Ozone","","33-007-4001","AQS","44","."
"02/27/2018","47","Ozone","","33-007-4001","AQS","47","."
"02/28/2018","51","Ozone","","33-007-4001","AQS","51","."
"03/01/2018","58","Ozone","","33-007-4001","AQS","58","."
"03/02/2018","54","Ozone","","33-007-4001","AQS","54","."
"03/03/2018","45","Ozone","","33-007-4001","AQS","45","3"
"03/04/2018","45","Ozone","","33-007-4001","AQS","45","."
"03/05/2018","54","Ozone","","33-007-4001","AQS","54","."
"03/06/2018","48","Ozone","","33-007-4001","AQS","48","4"
"03/07/2018","47","Ozone","","33-007-4001","AQS","47","."
"03/08/2018","44","Ozone","","33-007-4001","AQS","44","."
"03/09/2018","43","Ozone","","33-007-4001","AQS","43","4"
"03/10/2018","41","Ozone","","33-007-4001","AQS","41","."
"03/11/2018","45","Ozone","","33-007-4001","AQS","45","."
"03/12/2018","46","Ozone","","33-007-4001","AQS","46","6"
"03/13/2018","45","Ozone","","33-007-4001","AQS","45","."
"03/14/2018","42","Ozone","","33-007-4001","AQS","42","."
"03/15/2018","43","Ozone","","33-007-4001","AQS","43","3"
"03/16/2018","42","Ozone","","33-007-4001","AQS","42","."
"03/17/2018","44","Ozone","","33-007-4001","AQS","44","."
"03/18/2018","42","Ozone","","33-007-4001","AQS","42","6"
"03/19/2018","43","Ozone","","33-007-4001","AQS","43","."
"03/20/2018","42","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","42","."
"03/21/2018","41","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","41","6"
"03/22/2018","44","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","44","."
"03/23/2018","44","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","44","."
"03/24/2018","42","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","42","8"
"03/25/2018","42","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","42","."
"03/26/2018","44","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","44","."
"03/27/2018","49","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","49","7"
"03/28/2018","46","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","46","."
"03/29/2018","48","Ozone","","33-007-4001","AQS","48","."
"03/30/2018","47","Ozone","","33-007-4001","AQS","47","5"
"03/31/2018","45","Ozone","","33-007-4001","AQS","45","."
"04/01/2018","44","Ozone","","33-007-4001","AQS","44","."
"04/02/2018","46","Ozone","","33-007-4001","AQS","46","8"
"04/03/2018","49","Ozone","","33-007-4001","AQS","49","."
"04/04/2018","48","Ozone","","33-007-4001","AQS","48","."
"04/05/2018","45","Ozone","","33-007-4001","AQS","45","7"
"04/06/2018","50","Ozone","","33-007-4001","AQS","50","."
"04/07/2018","50","Ozone","","33-007-4001","AQS","50","."
"04/08/2018","42","Ozone","","33-007-4001","AQS","42","7"
