"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2013","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/02/2013","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/03/2013","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/04/2013","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/05/2013","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/06/2013","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/07/2013","29","Ozone","PISECO LAKE","36-041-0005","AQS","29","."
"01/08/2013","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/09/2013","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/10/2013","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/11/2013","24","Ozone","PISECO LAKE","36-041-0005","AQS","24","."
"01/12/2013","19","Ozone","PISECO LAKE","36-041-0005","AQS","19","."
"01/13/2013","19","Ozone","PISECO LAKE","36-041-0005","AQS","19","."
"01/14/2013","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/15/2013","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/17/2013","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"01/18/2013","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/19/2013","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/20/2013","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"01/21/2013","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"01/22/2013","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/23/2013","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/24/2013","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"01/25/2013","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"01/26/2013","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"01/27/2013","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"01/28/2013","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/29/2013","17","Ozone","PISECO LAKE","36-041-0005","AQS","17","."
"01/31/2013","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"02/01/2013","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/02/2013","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"02/03/2013","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"02/04/2013","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/05/2013","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/06/2013","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"02/07/2013","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/08/2013","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"02/09/2013","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"02/12/2013","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"02/13/2013","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"02/14/2013","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/15/2013","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/16/2013","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/17/2013","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/18/2013","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"02/19/2013","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"02/20/2013","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"02/21/2013","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"02/22/2013","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"02/23/2013","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"02/24/2013","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
