"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2012","63","PM2.5","IS 74","36-005-0112","AQS","8","27",".","63","28"
"01/02/2012","45","PM2.5","IS 74","36-005-0112","AQS","7","28",".","45","20"
"01/03/2012","54","PM2.5","IS 74","36-005-0112","AQS","6","31",".","54","22"
"01/04/2012","63","PM2.5","IS 74","36-005-0112","AQS","10","28","10","63","37"
"01/05/2012","67","PM2.5","IS 74","36-005-0112","AQS","10","26",".","67","42"
"01/06/2012","85","PM2.5","IS 74","36-005-0112","AQS","14","18",".","85","46"
"01/07/2012","80","PM2.5","IS 74","36-005-0112","AQS","16","37",".","80","50"
"01/08/2012","47","PM2.5","IS 74","36-005-0112","AQS","8","29",".","47","33"
"01/09/2012","55","PM2.5","IS 74","36-005-0112","AQS","13","26",".","55","45"
"01/10/2012","67","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","26","23","67","38"
"01/11/2012","89","NO2","Elizabeth Lab","34-039-0004","AQS","19","28",".","65","89"
"01/12/2012","49","PM2.5","PS 19","36-061-0128","AQS","11","30",".","49","42"
"01/13/2012","65","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","11","19",".","65","33"
"01/14/2012","55","PM2.5","IS 74","36-005-0112","AQS","8","31",".","55","20"
"01/15/2012","45","PM2.5","IS 74","36-005-0112","AQS","6","32",".","45","21"
"01/16/2012","55","PM2.5","IS 74","36-005-0112","AQS","11","30","15","55","48"
"01/17/2012","78","PM2.5","IS 74","36-005-0112","AQS","18","28",".","78","46"
"01/18/2012","53","PM2.5","IS 74","36-005-0112","AQS","13","31",".","53","23"
"01/19/2012","64","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","31",".","64","54"
"01/20/2012","56","PM2.5","IS 74","36-005-0112","AQS","7","29",".","56","35"
"01/21/2012","61","PM2.5","CCNY","36-061-0135","AQS","35","28",".","61","36"
"01/22/2012","59","PM2.5","PS 19","36-061-0128","AQS","28","29","16","59","42"
"01/23/2012","76","NO2","Elizabeth Lab","34-039-0004","AQS","19","29",".","60","76"
"01/24/2012","69","PM2.5","IS 74","36-005-0112","AQS","9","23",".","69","30"
"01/25/2012","57","PM2.5","IS 74","36-005-0112","AQS","7","24",".","57","28"
"01/26/2012","66","PM2.5","Union City","34-017-2002","AQS","15","20",".","66","47"
"01/27/2012","60","NO2","Elizabeth Lab","34-039-0004","AQS","19","28",".","58","60"
"01/28/2012","63","PM2.5","DIVISION STREET","36-061-0134","AQS","9","32","12","63","35"
"01/29/2012","35","PM2.5","IS 74","36-005-0112","AQS","8","33",".","35","30"
"01/30/2012","52","PM2.5","IS 74","36-005-0112","AQS","10","32",".","52","41"
"01/31/2012","58","PM2.5","IS 74","36-005-0112","AQS","10","31",".","58","48"
"02/01/2012","60","PM2.5","IS 74","36-005-0112","AQS","10","35",".","60","41"
"02/02/2012","58","PM2.5","CCNY","36-061-0135","AQS","8","30",".","58","45"
"02/03/2012","48","PM2.5","HOLTSVILLE","36-103-0009","AQS","8","33","17","48","40"
"02/04/2012","54","PM2.5","Toms River","34-029-2002","AQS","9","31",".","54","38"
"02/05/2012","52","PM2.5","HOLTSVILLE","36-103-0009","AQS","8","32",".","52","33"
"02/06/2012","58","PM2.5","IS 74","36-005-0112","AQS","11","31",".","58","39"
