"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM25","NO2"
"01/01/2012","69","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","69","16"
"01/02/2012","13","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","13","5"
"01/03/2012","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","32","5"
"01/04/2012","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","51","12"
"01/05/2012","64","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","64","25"
"01/06/2012","86","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13","86","25"
"01/07/2012","103","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13","103","25"
"01/08/2012","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","28","18"
"01/09/2012","74","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","74","28"
"01/10/2012","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11","51","25"
"01/11/2012","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","45","22"
"01/12/2012","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","19","10"
"01/13/2012","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","20","13"
"01/14/2012","17","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","17","5"
"01/15/2012","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","43","22"
"01/16/2012","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","59","29"
"01/17/2012","70","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","70","27"
"01/18/2012","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","29","14"
"01/19/2012","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","29","24"
"01/20/2012","14","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","14"
