"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25","NO2"
"01/01/2015","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","40","20"
"01/02/2015","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","30","12"
"01/03/2015","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","52","15"
"01/04/2015","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","22","18"
"01/05/2015","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","15","2"
"01/06/2015","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","37","14"
"01/07/2015","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","36","12"
"01/08/2015","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","29","10"
"01/09/2015","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","30","19"
"01/10/2015","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","46","24"
"01/11/2015","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","53","21"
"01/12/2015","71","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","71","24"
"01/13/2015","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","55","24"
"01/14/2015","121","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","121","33"
"01/15/2015","100","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","100","29"
"01/16/2015","24","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".",".","24"
"01/17/2015","24","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","24"
"01/18/2015","79","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","79","31"
"01/19/2015","30","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".",".","30"
"01/20/2015","22","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","22"
"01/21/2015","67","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","18","67","24"
"01/22/2015","83","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","83","25"
"01/23/2015","94","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","94","28"
"01/24/2015","99","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","27","99","29"
"01/25/2015","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","38","22"
"01/26/2015","61","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","61","25"
"01/27/2015","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","9","36","7"
"01/28/2015","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","58","31"
"01/29/2015","82","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13",".","82","35"
"01/30/2015","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","48","27"
"01/31/2015","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","55","26"
"02/01/2015","82","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","82","31"
"02/02/2015","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","54","17"
"02/03/2015","78","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","78","35"
"02/04/2015","77","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","77","32"
"02/05/2015","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","8","53","29"
"02/06/2015","79","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13",".","79","31"
"02/07/2015","61","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","61","9"
"02/08/2015","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","12","60","11"
"02/09/2015","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","54","23"
"02/10/2015","76","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","76","38"
"02/11/2015","105","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","32","105","37"
"02/12/2015","72","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","72","29"
"02/13/2015","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","57","31"
"02/14/2015","77","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","16",".","77","34"
"02/15/2015","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","52","9"
"02/16/2015","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","63","34"
"02/17/2015","110","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","16",".","110","33"
"02/18/2015","93","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13",".","93","35"
