"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2017","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","35","10","36","25"
"01/02/2017","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","31",".","56","21"
"01/03/2017","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","31",".","7","14"
"01/04/2017","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","32",".","19","24"
"01/05/2017","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","32",".","24","15"
"01/06/2017","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","28",".","56","26"
"01/07/2017","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","30","22","55","22"
"01/08/2017","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","31",".","53","23"
"01/09/2017","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","28",".","56","25"
"01/10/2017","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","36",".","62","25"
"01/11/2017","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","35",".",".","29"
"01/12/2017","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","33",".","23","21"
"01/13/2017","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","43","5","17","2"
"01/14/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","34",".","28","14"
"01/15/2017","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","35",".","50","22"
"01/16/2017","71","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","26",".","71","25"
"01/17/2017","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","31",".","63","25"
"01/18/2017","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","33",".","11","16"
"01/19/2017","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","21","6","27","18"
"01/20/2017","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","24",".","38","20"
"01/21/2017","67","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","3",".","67","20"
"01/22/2017","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","23",".","53","13"
"01/23/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","40",".","10","8"
"01/24/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","40",".","14","9"
"01/25/2017","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","32",".","30","24"
"01/26/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","34",".","33","29"
"01/27/2017","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","33",".","11","6"
"01/28/2017","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","33",".","16","4"
"01/29/2017","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","38",".","25","6"
"01/30/2017","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","39",".","22","8"
"01/31/2017","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","35","15","34","19"
