"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","31",".","15","8"
"01/02/2020","42","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","42","35"
"01/03/2020","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","22",".","53","40"
"01/04/2020","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","9","23","10","52","25"
"01/05/2020","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35",".","15","7"
"01/06/2020","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","35","29"
"01/07/2020","38","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","5","34",".","31","38"
"01/08/2020","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","32",".","32","25"
"01/09/2020","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","32","30"
"01/10/2020","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","28","13","38","27"
"01/11/2020","38","Ozone","UXBRIDGE","25-027-0024","AQS","5","38",".","31","18"
"01/12/2020","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","32",".","15","8"
"01/13/2020","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","22",".","38","19"
"01/14/2020","44","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","9",".","44","21"
"01/15/2020","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","28",".","38","30"
"01/16/2020","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","33","10","27","26"
"01/17/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","38",".","29","12"
"01/18/2020","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35",".","32","28"
"01/19/2020","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","32",".","38","34"
"01/20/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","38",".","29","16"
"01/21/2020","42","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","7","38",".","35","42"
"01/22/2020","60","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","36","33","60","50"
"01/23/2020","63","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","36",".","63","42"
"01/24/2020","62","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","14","30",".","62","42"
"01/25/2020","37","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","35",".","37","14"
