"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2021","26","Ozone","DUNKIRK","36-013-0006","AQS","49","7","32.2","01/01/2000","01/01/2006"
"01/02/2021","27","Ozone","DUNKIRK","36-013-0006","AQS","39","20","29.8","01/02/2001","01/02/2004"
"01/03/2021","25","Ozone","DUNKIRK","36-013-0006","AQS","34","12","27.6","01/03/2016","01/03/2005"
"01/04/2021","50","PM2.5","DUNKIRK","36-013-0006","AQS","38","13","29.2","01/04/2008","01/04/2016"
"01/05/2021","24","Ozone","DUNKIRK","36-013-0006","AQS","58","22","30","01/05/2002","01/05/2019"
"01/06/2021","31","Ozone","DUNKIRK","36-013-0006","AQS","56","18","31.6","01/06/2011","01/06/2002"
"01/07/2021","29","Ozone","DUNKIRK","36-013-0006","AQS","63","20","34.6","01/07/2001","01/07/2009"
"01/08/2021","26","Ozone","DUNKIRK","36-013-0006","AQS","42","16","29.8","01/08/2006","01/08/2003"
"01/09/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","34","22","29.6","01/09/2011","01/09/2002"
"01/10/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","54","13","32.2","01/10/2001","01/10/2002"
"01/11/2021","25","Ozone","DUNKIRK","36-013-0006","AQS","57","22","32.75","01/11/2006","01/11/2014"
"01/12/2021","24","Ozone","DUNKIRK","36-013-0006","AQS","36","19","33.75","01/12/2003","01/12/2001"
"01/13/2021","60","PM2.5","DUNKIRK","36-013-0006","AQS","77","20","31.4","01/13/2001","01/13/2017"
"01/14/2021","23","Ozone","DUNKIRK","36-013-0006","AQS","56","13","30","01/14/2010","01/14/2001"
"01/15/2021","28","Ozone","DUNKIRK","36-013-0006","AQS","56","17","43.25","01/15/2019","01/15/2001"
"01/16/2021","29","Ozone","DUNKIRK","36-013-0006","AQS","52","22","35.6","01/16/2017","01/16/2014"
"01/17/2021","25","Ozone","DUNKIRK","36-013-0006","AQS","54","23","30","01/17/2010","01/17/2008"
"01/18/2021","28","Ozone","DUNKIRK","36-013-0006","AQS","40","17","33","01/18/2019","01/18/2001"
"01/19/2021","31","Ozone","DUNKIRK","36-013-0006","AQS","66","23","33.2","01/19/2001","01/19/2010"
"01/20/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","54","16","33.2","01/20/2018","01/20/2017"
"01/21/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","56","23","36","01/21/2015","01/21/2002"
"01/22/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","66","29","35.2","01/22/2009","01/22/2002"
"01/23/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","47","22","31.2","01/23/2014","01/23/2001"
"01/24/2021","36","Ozone","DUNKIRK","36-013-0006","AQS","60","25","37","01/24/2015","01/24/2001"
"01/25/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","77","24","40","01/25/2016","01/25/2000"
"01/26/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","45","16","33.4","01/26/2018","01/26/2012"
"01/27/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","53","24","33","01/27/2011","01/27/2004"
"01/28/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","68","20","31.2","01/28/2008","01/28/2006"
"01/29/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","61","24","33.8","01/29/2002","01/29/2001"
"01/30/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","40","17","35","01/30/2007","01/30/2002"
"01/31/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","58","15","36.25","01/31/2000","01/31/2003"
"02/01/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","61","15","32.75","02/01/2014","02/01/2003"
"02/02/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","48","19","35.25","02/02/2007","02/02/2006"
"02/03/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","75","16","35.4","02/03/2005","02/03/2006"
"02/04/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","54","24","36.2","02/04/2014","02/04/2008"
"02/05/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","45","19","38.2","02/05/2019","02/05/2001"
"02/06/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","63","19","34","02/06/2001","02/06/2019"
"02/07/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","52","21","32.6","02/07/2002","02/07/2019"
