"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2021","41","Ozone","","33-007-4001","AQS","53","12","36","01/01/2000","01/01/2009"
"01/02/2021","42","Ozone","","33-007-4001","AQS","59","6","30.5","01/02/2006","01/02/2018"
"01/03/2021","44","Ozone","","33-007-4001","AQS","44","5","31.25","01/03/2013","01/03/2007"
"01/04/2021","44","Ozone","","33-007-4001","AQS","69","8","39","01/04/2001","01/04/2009"
"01/05/2021","43","Ozone","","33-007-4001","AQS","60","12","31.5","01/05/2006","01/05/2018"
"01/06/2021","44","Ozone","","33-007-4001","AQS","44","5","30.75","01/06/2016","01/06/2019"
"01/07/2021","45","Ozone","","33-007-4001","AQS","71","7","42.6666666666667","01/07/2000","01/07/2009"
"01/08/2021","45","Ozone","","33-007-4001","AQS","66","12","36","01/08/2006","01/08/2018"
"01/09/2021","42","Ozone","","33-007-4001","AQS","47","3","32.25","01/09/2013","01/09/2019"
"01/10/2021","41","Ozone","","33-007-4001","AQS","57","7","40.3333333333333","01/10/2005","01/10/2008"
"01/11/2021","42","Ozone","","33-007-4001","AQS","58","10","33","01/11/2006","01/11/2018"
"01/12/2021","38","Ozone","","33-007-4001","AQS","47","4","31.75","01/12/2013","01/12/2019"
"01/13/2021","34","Ozone","","33-007-4001","AQS","54","8","41.3333333333333","01/13/2004","01/13/2008"
"01/14/2021","35","Ozone","","33-007-4001","AQS","48","8","34.25","01/14/2015","01/14/2018"
"01/15/2021","43","Ozone","","33-007-4001","AQS","57","5","38.5","01/15/2003","01/15/2019"
"01/16/2021","36","Ozone","","33-007-4001","AQS","60","0","43","01/16/2001","01/16/2000"
"01/17/2021","28","Ozone","","33-007-4001","AQS","50","15","38","01/17/2017","01/17/2018"
"01/18/2021","37","Ozone","","33-007-4001","AQS","63","9","34.25","01/18/2003","01/18/2019"
"01/19/2021","37","Ozone","","33-007-4001","AQS","97","14","41.3333333333333","01/19/2001","01/19/2008"
"01/20/2021","36","Ozone","","33-007-4001","AQS","63","29","41","01/20/2006","01/20/2018"
"01/21/2021","37","Ozone","","33-007-4001","AQS","48","6","35.75","01/21/2015","01/21/2007"
"01/22/2021","29","Ozone","","33-007-4001","AQS","56","2","45","01/22/2004","01/22/2000"
"01/23/2021","32","Ozone","","33-007-4001","AQS","64","1","36","01/23/2006","01/23/2018"
"01/24/2021","39","Ozone","","33-007-4001","AQS","64","5","38.25","01/24/2003","01/24/2019"
"01/25/2021","39","Ozone","","33-007-4001","AQS","52","10","45.3333333333333","01/25/2004","01/25/2008"
"01/26/2021","44","Ozone","","33-007-4001","AQS","47","2","34","01/26/2015","01/26/2018"
"01/27/2021","40","Ozone","","33-007-4001","AQS","44","11","34.75","01/27/2016","01/27/2019"
"01/28/2021","34","Ozone","","33-007-4001","AQS","56","11","43","01/28/2005","01/28/2009"
"01/29/2021","39","Ozone","","33-007-4001","AQS","61","9","33.5","01/29/2002","01/29/2018"
"01/30/2021","43","Ozone","","33-007-4001","AQS","62","7","33.5","01/30/2003","01/30/2007"
"01/31/2021","45","Ozone","","33-007-4001","AQS","63","14","45","01/31/2005","01/31/2008"
"02/01/2021","46","Ozone","","33-007-4001","AQS","46","15","35.25","02/01/2016","02/01/2018"
"02/02/2021","40","Ozone","","33-007-4001","AQS","44","12","35.25","02/02/2016","02/02/2019"
"02/03/2021","39","Ozone","","33-007-4001","AQS","81","14","42.6666666666667","02/03/2005","02/03/2009"
"02/04/2021","44","Ozone","","33-007-4001","AQS","48","13","35","02/04/2002","02/04/2018"
"02/05/2021","44","Ozone","","33-007-4001","AQS","49","10","33.25","02/05/2011","02/05/2019"
"02/06/2021","39","Ozone","","33-007-4001","AQS","61","14","41.6666666666667","02/06/2005","02/06/2009"
"02/07/2021","44","Ozone","","33-007-4001","AQS","58","13","34.5","02/07/2002","02/07/2018"
"02/08/2021","41","Ozone","","33-007-4001","AQS","49","3","33.25","02/08/2016","02/08/2019"
"02/09/2021","42","Ozone","","33-007-4001","AQS","54","10","46","02/09/2005","02/09/2009"
"02/10/2021","38","Ozone","","33-007-4001","AQS","48","28","41.25","02/10/2015","02/10/2002"
"02/11/2021","37","Ozone","","33-007-4001","AQS","49","4","33.75","02/11/2015","02/11/2019"
"02/12/2021","41","Ozone","","33-007-4001","AQS","69","14","43","02/12/2001","02/12/2008"
"02/13/2021","45","Ozone","","33-007-4001","AQS","45","8","33.5","02/13/2015","02/13/2018"
"02/14/2021","45","Ozone","","33-007-4001","AQS","47","6","35.5","02/14/2017","02/14/2019"
"02/15/2021","44","Ozone","","33-007-4001","AQS","69","9","43.25","02/15/2001","02/15/2009"
"02/16/2021","37","Ozone","","33-007-4001","AQS","63","39","41.3333333333333","02/16/2006","02/16/2014"
"02/17/2021","44","Ozone","","33-007-4001","AQS","67","7","37","02/17/2011","02/17/2019"
"02/18/2021","49","Ozone","","33-007-4001","AQS","71","9","52","02/18/2017","02/18/2008"
"02/19/2021","47","Ozone","","33-007-4001","AQS","58","31","44.75","02/19/2013","02/19/2006"
"02/20/2021","41","Ozone","","33-007-4001","AQS","61","7","38","02/20/2017","02/20/2019"
"02/21/2021","42","Ozone","","33-007-4001","AQS","71","5","50.25","02/21/2017","02/21/2008"
"02/22/2021","43","Ozone","","33-007-4001","AQS","73","27","50.5","02/22/2006","02/22/2002"
"02/23/2021","43","Ozone","","33-007-4001","AQS","67","11","41.4","02/23/2017","02/23/2019"
"02/24/2021","44","Ozone","","33-007-4001","AQS","55","8","48.25","02/24/2001","02/24/2009"
"02/25/2021","40","Ozone","","33-007-4001","AQS","48","22","44.5","02/25/2017","02/25/2006"
"02/26/2021","38","Ozone","","33-007-4001","AQS","53","7","36.4","02/26/2003","02/26/2007"
"02/27/2021","43","Ozone","","33-007-4001","AQS","47","12","45.25","02/27/2018","02/27/2001"
"02/28/2021","45","Ozone","","33-007-4001","AQS","51","26","48.5","02/28/2018","02/28/2002"
"03/01/2021","45","Ozone","","33-007-4001","AQS","75","8","47.4","03/01/2004","03/01/2007"
"03/02/2021","40","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","55","13","46.4","03/02/2001","03/02/2009"
"03/03/2021","40","Ozone","","33-007-4001","AQS","48","13","44.4","03/03/2015","03/03/2002"
"03/04/2021","40","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","55","15","44.6","03/04/2004","03/04/2007"
"03/05/2021","36","Ozone","","33-007-4001","AQS","58","10","47.8","03/05/2017","03/05/2009"
"03/06/2021","37","Ozone","","33-007-4001","AQS","71","35","49.2","03/06/2017","03/06/2006"
"03/07/2021","38","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","64","9","48.6","03/07/2017","03/07/2007"
"03/08/2021","49","Ozone","","33-007-4001","AQS","55","14","48","03/08/2001","03/08/2009"
"03/09/2021","46","Ozone","","33-007-4001","AQS","50","28","46.6","03/09/2016","03/09/2006"
"03/10/2021","61","Ozone","","33-007-4001","AQS","67","9","48.6","03/10/2015","03/10/2008"
"03/11/2021","61","Ozone","","33-007-4001","AQS","97","14","44.2","03/11/2010","03/11/2009"
"03/12/2021","44","Ozone","","33-007-4001","AQS","100","33","41.8","03/12/2010","03/12/2017"
"03/13/2021","39","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","50","7","47.2","03/13/2016","03/13/2008"
"03/14/2021","39","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","51","13","46.2","03/14/2005","03/14/2009"
"03/15/2021","40","Ozone","","33-007-4001","AQS","67","23","45","03/15/2012","03/15/2006"
