"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","38","19","32","01/01/2018","01/01/2007"
"01/02/2020","29","Ozone","PISECO LAKE","36-041-0005","AQS","35","13","32.2","01/02/2013","01/02/2006"
"01/03/2020","19","Ozone","PISECO LAKE","36-041-0005","AQS","39","22","30.25","01/03/2011","01/03/2005"
"01/04/2020","29","Ozone","PISECO LAKE","36-041-0005","AQS","35","23","29.25","01/04/2006","01/04/2007"
"01/05/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","39","19","31","01/05/2011","01/05/2002"
"01/06/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","35","20","32.25","01/06/2011","01/06/2001"
"01/07/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","38","18","34","01/07/2018","01/07/2008"
"01/08/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","37","22","31.25","01/08/2004","01/08/2006"
"01/09/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","39","18","30.25","01/09/2004","01/09/2002"
"01/10/2020","25","Ozone","PISECO LAKE","36-041-0005","AQS","40","20","31.5","01/10/2004","01/10/2014"
"01/11/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","37","15","32.5","01/11/2001","01/11/2006"
"01/12/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","38","19","32.5","01/12/2003","01/12/2004"
"01/13/2020","28","Ozone","PISECO LAKE","36-041-0005","AQS","42","19","34.75","01/13/2017","01/13/2007"
"01/14/2020","26","Ozone","PISECO LAKE","36-041-0005","AQS","40","22","33.5","01/14/2011","01/14/2007"
"01/15/2020","28","Ozone","PISECO LAKE","36-041-0005","AQS","39","17","35.3333333333333","01/15/2017","01/15/2001"
"01/16/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","40","19","33.5","01/16/2008","01/16/2001"
"01/17/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","38","23","32.25","01/17/2013","01/17/2014"
"01/18/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","35","22","29","01/18/2013","01/18/2014"
"01/19/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","35","25","30.5","01/19/2000","01/19/2001"
"01/20/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","38","24","33.5","01/20/2013","01/20/2000"
"01/21/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","39","20","29.75","01/21/2001","01/21/2017"
"01/22/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","37","19","29.6","01/22/2016","01/22/2017"
"01/23/2020","32","Ozone","PISECO LAKE","36-041-0005","AQS","38","24","32.8","01/23/2017","01/23/2012"
"01/24/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","39","22","36.75","01/24/2017","01/24/2002"
"01/25/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","40","27","34.8","01/25/2018","01/25/2012"
"01/26/2020","26","Ozone","PISECO LAKE","36-041-0005","AQS","37","22","33.4","01/26/2013","01/26/2010"
"01/27/2020","28","Ozone","PISECO LAKE","36-041-0005","AQS","39","27","33.75","01/27/2009","01/27/2010"
"01/28/2020",".","","","","","38","25","34.8","01/28/2018","01/28/2006"
"01/29/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","17","32.2","01/29/2000","01/29/2013"
"01/30/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","38","25","33.2","01/30/2017","01/30/2001"
"01/31/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","44","28","36.6","01/31/2016","01/31/2001"
"02/01/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","46","27","35.6","02/01/2016","02/01/2003"
"02/02/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","39","22","35.6","02/02/2009","02/02/2006"
"02/03/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","39","26","34.8","02/03/2017","02/03/2008"
"02/04/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","41","30","36","02/04/2011","02/04/2001"
"02/05/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","41","25","37","02/05/2018","02/05/2008"
"02/06/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","42","28","34.4","02/06/2005","02/06/2019"
"02/07/2020",".","","","","","43","26","32.4","02/07/2009","02/07/2019"
"02/08/2020",".","","","","","41","22","36.75","02/08/2018","02/08/2005"
"02/09/2020","32","Ozone","PISECO LAKE","36-041-0005","AQS","40","13","35.6","02/09/2018","02/09/2005"
"02/10/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","40","25","34.4","02/10/2014","02/10/2012"
"02/11/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","40","27","35.6","02/11/2007","02/11/2009"
"02/12/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","43","31","36","02/12/2018","02/12/2013"
"02/13/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","41","29","35.6","02/13/2011","02/13/2008"
"02/14/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","43","29","35.2","02/14/2017","02/14/2005"
"02/15/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","44","29","34.2","02/15/2014","02/15/2012"
"02/16/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","42","25","35","02/16/2010","02/16/2012"
"02/17/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","43","31","37.8","02/17/2017","02/17/2008"
"02/18/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","67","31","44","02/18/2017","02/18/2009"
