"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2020","36","PM2.5","Intermediate School 143","36-061-0115","AQS","119","45","53.6","01/01/2011","01/01/2019"
"01/02/2020","56","PM2.5","Intermediate School 143","36-061-0115","AQS","134","37","61.8","01/02/2006","01/02/2005"
"01/03/2020","68","PM2.5","Fort Lee Near Road","34-003-0010","AQS","102","31","59","01/03/2004","01/03/2006"
"01/04/2020","63","PM2.5","Fort Lee Near Road","34-003-0010","AQS","108","37","52.2","01/04/2001","01/04/2003"
"01/05/2020","37","PM2.5","CCNY","36-061-0135","AQS","113","33","50.2","01/05/2014","01/05/2000"
"01/06/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","113","30","56.4","01/06/2007","01/06/2004"
"01/07/2020","72","PM2.5","RICHMOND POST OFFICE","36-085-0055","AQS","121","36","59.4","01/07/2008","01/07/2019"
"01/08/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","118","47","65.8","01/08/2001","01/08/2012"
"01/09/2020","43","PM2.5","Intermediate School 143","36-061-0115","AQS","108","38","56.8","01/09/2013","01/09/2019"
"01/10/2020","50","PM2.5","Intermediate School 143","36-061-0115","AQS","141","38","52.4","01/10/2014","01/10/2003"
"01/11/2020","52","PM2.5","PS 274","36-047-0118","AQS","141","34","59.8","01/11/2006","01/11/2003"
"01/12/2020","40","PM2.5","Intermediate School 143","36-061-0115","AQS","85","43","55.4","01/12/2004","01/12/2019"
"01/13/2020","51","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","121","33","46.8","01/13/2005","01/13/2002"
"01/14/2020","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","143","32","53.8","01/14/2001","01/14/2005"
"01/15/2020","62","PM2.5","Fort Lee Near Road","34-003-0010","AQS","105","31","69","01/15/2016","01/15/2000"
"01/16/2020","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","116","33","62.8","01/16/2009","01/16/2006"
"01/17/2020","37","PM2.5","Intermediate School 143","36-061-0115","AQS","104","36","55.2","01/17/2011","01/17/2000"
"01/18/2020","32","PM2.5","Fort Lee Near Road","34-003-0010","AQS","96","31","62.2","01/18/2007","01/18/2000"
"01/19/2020","40","PM2.5","Intermediate School 143","36-061-0115","AQS","110","41","53","01/19/2000","01/19/2016"
"01/20/2020","39","Ozone","Chester","34-027-3001","AQS","78","34","48.2","01/20/2009","01/20/2004"
"01/21/2020","45","PM2.5","NEWBURGH","36-071-0002","AQS","156","34","58","01/21/2007","01/21/2000"
