"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2021","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","116","21","40","01/01/2011","01/01/2001"
"01/02/2021","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","96","13","40.2","01/02/2006","01/02/2012"
"01/03/2021","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","84","20","40.6","01/03/2013","01/03/2011"
"01/04/2021","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","114","17","40.2","01/04/2014","01/04/2000"
"01/05/2021","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","112","15","40","01/05/2014","01/05/2015"
"01/06/2021","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","86","16","48","01/06/2012","01/06/2007"
"01/07/2021","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","107","28","54.4","01/07/2008","01/07/2009"
"01/08/2021","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","128","18","46.4","01/08/2013","01/08/2010"
"01/09/2021","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","116","20","33","01/09/2013","01/09/2007"
"01/10/2021","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","95","9","41.6","01/10/2014","01/10/2016"
"01/11/2021","83","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","87","18","43.4","01/11/2006","01/11/2016"
"01/12/2021","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","91","19","46.2","01/12/2009","01/12/2012"
"01/13/2021","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","83","14","44","01/13/2009","01/13/2011"
"01/14/2021","84","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","121","17","63","01/14/2015","01/14/2012"
"01/15/2021","75","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","100","34","66.6","01/15/2015","01/15/2008"
"01/16/2021","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","98","38","53.5","01/16/2009","01/16/2000"
"01/17/2021","29","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","79","19","51","01/17/2014","01/17/2016"
"01/18/2021","28","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","90","15","45.6","01/18/2014","01/18/2016"
"01/19/2021","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","91","22","38.75","01/19/2009","01/19/2016"
"01/20/2021","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","77","10","46.25","01/20/2006","01/20/2008"
