"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2021","49","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","103","21","34.6","01/01/2000","01/01/2013"
"01/02/2021","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","75","8","39.8","01/02/2006","01/02/2007"
"01/03/2021","42","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","70","17","39.2","01/03/2004","01/03/2010"
"01/04/2021","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","77","17","33","01/04/2001","01/04/2003"
"01/05/2021","30","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","68","18","38","01/05/2006","01/05/2010"
"01/06/2021","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","75","17","36","01/06/2002","01/06/2001"
"01/07/2021","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","93","13","42.4","01/07/2008","01/07/2007"
"01/08/2021","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","85","7","45.2","01/08/2006","01/08/2001"
"01/09/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","84","8","38.8","01/09/2006","01/09/2009"
"01/10/2021","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","79","11","42","01/10/2014","01/10/2007"
"01/11/2021","58","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","69","8","42.2","01/11/2006","01/11/2007"
"01/12/2021","55","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","58","19","39.6","01/12/2013","01/12/2012"
"01/13/2021","50","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","80","21","35.4","01/13/2009","01/13/2011"
"01/14/2021","87","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","70","12","39.4","01/14/2010","01/14/2005"
"01/15/2021","73","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","74","6","43.6","01/15/2010","01/15/2006"
"01/16/2021","32","Ozone","UXBRIDGE","25-027-0024","AQS","77","8","46","01/16/2014","01/16/2006"
